WCDATEIMS001	,WCD P1_ATE-IMS預警通知
F721ATSUR001	,WCD P1_ATS報警
F721FA002	,WCD P1_FA Monitor數據流異常通知
WCDP1FLSD001	,WCD P1_FA停線通知
WCDP1PFDW001	,WCD P1_PCBA FEEDER WARNING
WCDP1PRFBC001	,WCD P1_PCBA RF報錯提醒
F721PCBA001	,WCD P1_PCBA設備異常報警通知
WCDP1PLSD001	,WCD P1_PCB停線通知
F721BMSB01	,WCD P1_UPS電池溫度報警
F721ATSUR002	,WCD P1_UR報警
WCDFEM001	,WCD P1_廠務能源系統
WCDECS001	,WCD P1_機房異常通知
WCDAGV002	,WCD_AGV空貨架數量預警
F721MSGBIOS001	,WCD_Bios confirm
F721MSGCFI001	,WCD_CFI CMTXML ISSUE
F721FA001	,WCD_FA Monitor系統報警
F721FICT001	,WCD_FICT動態測試項目變動通知
WCDDMM001	,WCD_FMS/DMM維修單通知
F721MSGGCF001	,WCD_GCFTOTE ISSUE
WCDI4M001	,WCD_i4.0 system monitor
WCDISGFN001	,WCD_IT SCADA
F721MAC001	,WCD_MB MAC异常通知
F721AGV001	,WCD_MB智能倉儲入庫過賬異常
F721MTPVIEW001	,WCD_Mounter拋料率異常通知
F721MTVAC001	,WCD_Mounter真空負壓異常
WCDMSD001	,WCD_MSD超時預警通知
WCDOP1KB001	,WCD_OP1管理看板
WCDOP1KB002	,WCD_OP1管理看板(僅通知)
WCDOP1SFC001	,WCD_OP1系統運行監控(生產相關) 
F721WIPMB001	,WCD_PCBA WIP MB MA
F721PSA001	,WCD_PSA含氧量&壓力值異常通知
F721OA3001	,WCD_ROSA OA3 validation異常通知
F721MSGSKIP001	,WCD_SKIP Fictdear
F721PTVAC001	,WCD_印刷機真空負壓異常
F711ATSUR001	,WCQ P1(711)_ATS報警
F711FA002	,WCQ P1(711)_FA Monitor數據流異常通知
F711AGV001	,WCQ P1(711)_MB智能倉儲入庫過賬異常
F711ATSUR002	,WCQ P1(711)_UR報警
F715ATSUR001	,WCQ P1(715)_ATS報警
F715FA001	,WCQ P1(715)_FA Monitor系統報警
F715FA003	,WCQ P1(715)_FA未開線體提醒
F715AGV001	,WCQ P1(715)_MB智能倉儲入庫過賬異常
F715ATSUR002	,WCQ P1(715)_UR報警
F715FA002	,WCQ P1(F715)_FA Monitor數據流異常通知
WCQATEIMS001	,WCQ P1_ATE-IMS預警通知
WCQP1FLSD001	,WCQ P1_FA停線通知
F715FICT001	,WCQ P1_FICT動態測試項目變動通知
WCQI4M001	,WCQ P1_i4.0 system monitor
F715MTPVIEW001	,WCQ P1_Mounter拋料率異常通知
F715MTVAC001	,WCQ P1_Mounter真空負壓異常
WCQP1PFDW001	,WCQ P1_PCBA_FEEDER Warning
WCQP1PRFBC001	,WCQ P1_PCBA_RF報錯提醒
WCQP1PJJB001	,WCQ P1_PCBA交接班異常提醒
WCQP1PLSD001	,WCQ P1_PCB停線通知
F715PSA001	,WCQ P1_PSA含氧量&壓力值異常通知
F715PTVAC001	,WCQ P1_印刷機真空負壓異常
WCQFEM001	,WCQ P1_廠務能源系統
WCQAGV002	,WCQ_AGV空貨架數量預警
WCQEWSDT001	,WCQ_EWS DT Message
WCQEWSNB001	,WCQ_EWS NB Message
WCQDMM001	,WCQ_FMS/DMM維修單通知
WCQISGFN001	,WCQ_IT SCADA
WCQOP1SFC001	,WCQ_OP1系統運行監控(生產相關) 
WKSECS022	,WKS (B15)_機房異常通知
WKSECS023	,WKS (B16)_機房異常通知
WKSECS016	,WKS (B18)_機房異常通知
WKSECS017	,WKS (B2)_機房異常通知
WKSECS018	,WKS (B3)_機房異常通知
WKSECS014	,WKS (B6)_機房異常通知
WKSECS015	,WKS (B7)_機房異常通知
WKSBMSRD1	,WKS (RD)_UPS電池溫度報警
WKSECS019	,WKS (緯隆8#)_機房異常通知
WKSECS020	,WKS (緯隆9#)_機房異常通知
WKSECS021	,WKS (緯騰)_機房異常通知
F230BMSB61	,WKS P1(B6)_UPS電池溫度報警
F230SE001	,WKS P1_AP Server異常報警
F230ATEIMS001	,WKS P1_ATE-IMS預警通知
F230ATSUR001	,WKS P1_ATS報警
F230BMS001	,WKS P1_BMS系統報警
F230DPMPRD001	,WKS P1_DPM生產力異常通知
F230DPMFPYR001-S	,WKS P1_DPM生產良率異常通知
F230FA002	,WKS P1_FA Monitor數據流異常通知
F230FA001	,WKS P1_FA Monitor系統報警
F230FAWIP001	,WKS P1_FA WIP 預警通知
WKSP1FLSD001	,WKS P1_FA停線通知
F230FICT001	,WKS P1_FICT動態測試項目變動通知
F230I4M001	,WKS P1_i4.0 system monitor
F230AGV001	,WKS P1_MB智能倉儲入庫過賬異常
F230MTPVIEW001	,WKS P1_Mounter拋料率異常通知
F230MTVAC001	,WKS P1_Mounter真空負壓異常
F230MTRSK001	,WKS P1_Mounter風險預測
F230PCBA002	,WKS P1_PCBA monitor數據流異常通知
F230PCBAAVR001	,WKS P1_PCBA穩壓器by pass通知
F230PCBA001	,WKS P1_PCBA設備異常報警通知
WKSP1PLSD001	,WKS P1_PCB停線通知
F230PSA001	,WKS P1_PSA含氧量&壓力值異常通知
F230ATSUR002	,WKS P1_UR報警
F230ATSUR002TEST	,WKS P1_UR報警測試
F230PTVAC001	,WKS P1_印刷機真空負壓異常
F230FEM001	,WKS P1_廠務能源系統
F330BMSB11	,WKS P3(B1)_UPS電池溫度報警
F330BMSB151	,WKS P3(B15)_UPS電池溫度報警
F330BMSB161	,WKS P3(B16)_UPS電池溫度報警
F330BMSB181	,WKS P3(B18)_UPS電池溫度報警
F330BMSB21	,WKS P3(B2)_UPS電池溫度報警
F330BMSB31	,WKS P3(B3)_UPS電池溫度報警
F330BMSB51	,WKS P3(B5)_UPS電池溫度報警
F330BMS001	,WKS P3_BMS系統報警
F330FEM001	,WKS P3_廠務能源系統
F232BMSB61	,WKS P5(B6)_UPS電池溫度報警
